Company,TypeName,Inches,Weight,screen_resolution,display_type,processor_speed,processor_brand,processor_type,ssd_storage,hdd_storage,flash_storage,ram,os,Price
Lenovo,2 in 1 Convertible,13.3,1.37,1920x1080,Full HD,2.5,Intel, Core i5 7200U,512,0,0,8,windows,16.56920292595128
Lenovo,Workstation,15.6,2.18,1920x1080,Full HD,2.5,Intel, Core i7 6500U,512,0,0,16,windows,16.592725648804702
Acer,Notebook,15.6,2.1,1366x768,HD,3.0,AMD, A9-Series 9420,0,1024,0,4,windows,14.361231020361002
Dell,Ultrabook,13.3,1.21,3840x2160,4K,1.8,Intel, Core i7 8550U,256,0,0,8,windows,16.66404055255443
Lenovo,Notebook,14.0,1.9,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,15.608966289811914
Lenovo,Notebook,15.6,2.3,1920x1080,Full HD,2.5,Intel, Core i5 7200U,0,1024,0,8,windows,15.467960983908478
Lenovo,Notebook,15.6,1.8,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,4,windows,15.430750468792288
Asus,Gaming,15.6,2.45,1920x1080,Full HD,3.0,AMD, FX 9830P,0,1024,0,8,windows,15.184670822671974
Lenovo,Notebook,13.3,1.5,1920x1080,Full HD,2.4,Intel, Core i3 7100U,128,0,0,4,windows,14.836184516301737
Dell,Notebook,15.6,2.18,1366x768,HD,2.5,Intel, Core i5 7200U,128,0,0,8,windows,15.215282235371241
Dell,Notebook,14.0,1.6,1366x768,HD,2.5,Intel, Core i5 7200U,0,500,0,4,windows,15.508661384016229
Toshiba,Ultrabook,13.3,1.05,1920x1080,Full HD,2.7,Intel, Core i7 7500U,512,0,0,32,windows,17.18621794886945
HP,Ultrabook,13.3,1.11,1920x1080,Full HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,16.133196810244804
HP,Notebook,17.3,2.63,1600x900,HD,2.5,Intel, Core i5 7200U,0,1024,0,8,windows,15.565244912382596
Acer,Notebook,15.6,2.2,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,15.451484167551682
Acer,Notebook,15.6,2.23,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,4,windows,15.168064077684797
Asus,Gaming,17.3,2.9,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,16,windows,16.975717231276462
Lenovo,Notebook,15.6,2.2,1366x768,HD,2.0,Intel, Core i3 6006U,0,1024,0,8,windows,14.577872520710345
HP,Notebook,14.0,1.43,1920x1080,Full HD,2.5,Intel, Core i7 6500U,256,0,0,8,windows,16.85770307855629
Acer,Notebook,17.3,3.0,1920x1080,Full HD,2.7,Intel, Core i3 7130U,0,1024,0,4,windows,15.09087327372135
Dell,Ultrabook,12.5,1.18,1920x1080,Full HD,2.8,Intel, Core i7 7600U,256,0,0,16,windows,16.59583323221602
Asus,Gaming,17.3,4.3,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,16,windows,16.54850164854802
Lenovo,Notebook,14.0,1.87,1920x1080,Full HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,15.482036498435
HP,Notebook,15.6,1.84,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,15.895393514074927
Asus,Gaming,15.6,2.24,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,128,1024,0,8,windows,16.12246242262085
Lenovo,Notebook,15.6,2.4,1920x1080,Full HD,2.4,AMD, A10-Series 9600P,0,1024,0,6,windows,14.698418182633798
HP,Notebook,14.0,1.63,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,15.483715026885998
Asus,Notebook,17.3,2.1,1920x1080,Full HD,1.8,Intel, Core i7 8550U,128,1024,0,8,windows,15.896654060280843
HP,Notebook,14.0,1.95,1366x768,HD,2.5,Intel, Core i5 7200U,0,500,0,4,windows,15.785370726747098
Dell,Workstation,15.6,2.23,1920x1080,Full HD,2.6,Intel, Core i5 6440HQ,0,500,0,8,windows,16.154428908554436
HP,Notebook,15.6,1.86,1920x1080,Full HD,2.0,Intel, Core i3 6006U,0,1024,0,4,windows,14.608966289811914
Dell,Notebook,15.6,2.2,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,4,windows,15.284344085755288
Asus,Notebook,15.6,2.0,1366x768,HD,1.1,Intel, Celeron Dual Core N3350,0,1024,0,4,windows,14.140663640432882
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,2.5,Intel, Core i7 6500U,0,1024,0,8,windows,15.121384577937999
Dell,Notebook,15.6,1.9,1920x1080,Full HD,2.8,Intel, Core i5 7440HQ,256,0,0,8,windows,16.1628350214315
Dell,Notebook,15.6,2.02,1920x1080,Full HD,1.8,Intel, Core i7 8550U,128,2048,0,8,windows,15.658701076790383
HP,Notebook,13.3,1.49,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,15.642412772905056
HP,Ultrabook,13.3,1.16,1920x1080,Full HD,2.5,Intel, Core i7 6500U,512,0,0,8,windows,16.678769573198093
Lenovo,Notebook,13.3,1.4,1920x1080,Full HD,2.7,Intel, Core i7 7500U,512,0,0,16,windows,16.285306845244396
HP,Notebook,15.6,2.04,1920x1080,Full HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,15.728446355443511
HP,Notebook,17.3,2.5,1600x900,HD,2.0,Intel, Core i3 6006U,256,0,0,8,windows,15.057224833470903
Dell,Notebook,15.6,2.25,1920x1080,Full HD,2.5,Intel, Core i5 7200U,0,1024,0,4,windows,14.862226650139728
Acer,Notebook,17.3,3.0,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,15.473614436917028
Asus,Notebook,15.6,2.2,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,128,1024,0,16,windows,16.50783675121819
Samsung,Ultrabook,13.3,0.81,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,16.285306845244396
Lenovo,Ultrabook,14.0,1.4,2560x1440,Quad HD,2.6,Intel, Core i7 6600U,256,0,0,12,windows,16.59505696367919
Lenovo,Ultrabook,14.0,1.4,1920x1080,Full HD,2.6,Intel, Core i7 6600U,512,0,0,12,windows,16.902312928014716
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,no,14.836184516301737
MSI,Gaming,17.3,2.6,1920x1080,Full HD,2.6,Intel, Core i7 6700HQ,256,0,0,8,windows,16.37847640077687
Lenovo,Notebook,13.3,1.4,1920x1080,Full HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,15.715661754935695
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,2.7,Intel, Core i7 7500U,0,1024,0,8,no,15.155482355144427
Toshiba,Notebook,14.0,1.75,1366x768,HD,2.3,Intel, Core i5 6200U,0,500,0,4,windows,15.573150110467942
Acer,Notebook,17.3,3.3,1600x900,HD,2.0,Intel, Core i3 6006U,0,1024,0,8,windows,15.032438384175826
Asus,Notebook,15.6,2.0,1366x768,HD,2.4,Intel, Core i3 7100U,0,1024,0,4,windows,14.500393768032628
Dell,Notebook,15.6,2.3,1366x768,HD,2.4,Intel, Core i3 7100U,0,1024,0,6,windows,14.513599306831896
Acer,Gaming,17.3,4.2,1920x1080,Full HD,2.6,Intel, Core i7 6700HQ,128,1024,0,16,windows,16.65364002832831
HP,Ultrabook,15.6,1.84,1920x1080,Full HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,15.290111028974176
MSI,Gaming,17.3,2.8,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,16,windows,16.870590123074354
Lenovo,2 in 1 Convertible,10.1,0.69,1920x1200,Full HD,1.44,Intel, Atom x5-Z8550,0,0,64,4,windows,15.071515390010394
HP,Ultrabook,12.5,1.26,1920x1080,Full HD,2.5,Intel, Core i5 7200U,0,500,0,4,windows,16.323299693624747
MSI,Gaming,18.4,4.4,1920x1080,Full HD,2.9,Intel, Core i7 6920HQ,512,1024,0,32,windows,17.18621794886945
Dell,Notebook,15.6,1.98,1920x1080,Full HD,2.5,Intel, Core i5 7200U,0,1024,0,8,linux,15.239347915292289
Dell,Notebook,15.6,2.36,1366x768,HD,2.5,Intel, Core i5 7200U,0,1024,0,8,windows,15.055171720679686
HP,Gaming,17.3,2.62,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,0,1024,0,12,windows,16.54850164854802
Asus,Gaming,17.3,3.58,1920x1080,Full HD,2.7,Intel, Core i7 6820HK,256,0,0,32,windows,16.056322726178173
Lenovo,Notebook,15.6,2.2,1366x768,HD,1.1,Intel, Pentium Quad Core N4200,0,1024,0,4,windows,14.006985205200913
Dell,Notebook,14.0,1.64,1920x1080,Full HD,2.8,Intel, Core i5 7440HQ,256,0,0,8,windows,15.9388701802763
Asus,Ultrabook,12.5,0.91,1920x1080,Full HD,2.7,Intel, Core i7 7500U,512,0,0,16,windows,16.66478058593351
MSI,Gaming,15.6,2.4,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,16,windows,16.54850164854802
Dell,Notebook,15.6,2.2,1920x1080,Full HD,2.7,Intel, Core i7 7500U,0,1024,0,8,linux,14.964100398579278
Lenovo,Notebook,13.3,1.4,1920x1080,Full HD,2.4,Intel, Core i3 7100U,256,0,0,8,windows,15.625786454317646
Apple,Ultrabook,12.0,0.92,2304x1440,Full HD,1.3,Intel, Core i5,512,0,0,8,macos,16.29585501150898
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,3.6,AMD, A12-Series 9720P,512,0,0,12,windows,15.625786454317646
Mediacom,Notebook,14.0,1.4,1920x1200,Full HD,1.92,Intel, Atom Z8350,0,32,0,4,windows,13.785370726747098
Asus,Notebook,15.6,2.0,3840x2160,4K,2.7,Intel, Core i7 7500U,256,1024,0,8,windows,16.07870789274442
Lenovo,Notebook,15.6,2.05,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,15.264952731442689
MSI,Gaming,17.3,2.7,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,0,0,8,windows,16.133196810244804
Dell,Ultrabook,15.6,1.88,1920x1080,Full HD,1.9,Intel, Core i7 8650U,256,0,0,8,windows,16.077596845295677
HP,Notebook,15.6,1.91,1920x1080,Full HD,2.0,Intel, Core i3 6006U,128,0,0,4,windows,14.513599306831896
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,2.0,Intel, Core i3 6006U,0,1024,0,4,windows,14.605886896879943
HP,Notebook,17.3,2.71,1920x1080,Full HD,2.5,Intel, Core i5 7200U,0,2048,0,6,windows,15.184670822671974
Lenovo,Gaming,15.6,2.5,1920x1080,Full HD,2.5,Intel, Core i5 7300HQ,256,0,0,8,windows,15.430750468792288
HP,Notebook,13.3,1.49,1920x1080,Full HD,2.4,Intel, Core i3 7100U,128,0,0,4,windows,15.225370137735835
Acer,Notebook,14.0,2.1,1366x768,HD,2.0,Intel, Core i3 6006U,0,1024,0,8,windows,14.339148522282729
HP,Ultrabook,15.6,1.91,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,15.09965683230459
Asus,Notebook,15.6,2.37,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,15.837497848245768
Apple,Ultrabook,12.0,0.92,2304x1440,Full HD,1.2,Intel, Core M,0,0,512,8,mac,16.056322726178173
HP,Ultrabook,12.5,1.26,1366x768,HD,2.5,Intel, Core i5 7200U,256,0,0,4,windows,16.34192738999432
Lenovo,2 in 1 Convertible,15.6,1.8,1920x1080,Full HD,2.5,Intel, Core i7 6500U,256,0,0,4,windows,15.461740336628736
HP,Notebook,15.6,1.86,1366x768,HD,2.0,Intel, Core i3 6006U,0,500,0,4,no,14.246879517993657
Acer,Notebook,15.6,2.4,1920x1080,Full HD,2.4,Intel, Core i3 7100U,0,1024,0,4,windows,14.698418182633798
Asus,Gaming,17.3,2.73,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,16,windows,16.73685999460497
Dell,Notebook,17.3,2.36,1600x900,HD,2.0,Intel, Core i3 6006U,0,1024,0,4,windows,15.09965683230459
Dell,Gaming,15.6,2.62,1920x1080,Full HD,2.5,Intel, Core i5 7300HQ,256,0,0,8,windows,15.679502091640277
Lenovo,Gaming,15.6,3.2,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,8,windows,16.18570242446129
Acer,Ultrabook,14.0,1.6,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,15.52342473668797
Asus,Gaming,17.3,3.2,1920x1080,Full HD,3.0,AMD, Ryzen 1700,256,1024,0,8,windows,16.07870789274442
Dell,Ultrabook,14.0,1.6,1920x1080,Full HD,2.8,Intel, Core i7 7600U,256,0,0,8,linux,15.837497848245768
Dell,Ultrabook,13.3,1.4,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,15.63487910021965
HP,Notebook,17.3,2.5,1920x1080,Full HD,1.8,Intel, Core i7 8550U,512,0,0,16,windows,16.047270492301497
Dell,Gaming,17.3,4.36,2560x1440,Quad HD,2.7,Intel, Core i7 6820HK,512,1024,0,16,windows,17.164928918810517
HP,Notebook,15.6,1.84,1920x1080,Full HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,15.987004587916749
Dell,Notebook,15.6,2.09,1920x1080,Full HD,2.4,Intel, Core i5 6300U,0,500,0,8,windows,15.766796055746216
Apple,Ultrabook,13.3,1.37,2560x1600,Quad HD,3.1,Intel, Core i5,512,0,0,8,macos,16.729875614155397
Dell,Notebook,15.6,2.33,1920x1080,Full HD,1.6,Intel, Core i5 8250U,128,1024,0,8,windows,15.456621366003722
Dell,Gaming,15.6,2.62,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,0,1024,0,8,windows,15.963138120710761
Dell,2 in 1 Convertible,17.3,2.77,1920x1080,Full HD,1.6,Intel, Core i5 8250U,0,1024,0,12,windows,15.699863045088955
Acer,Notebook,15.6,2.2,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,4,windows,15.14915010632071
HP,Notebook,17.3,2.63,1920x1080,Full HD,2.7,Intel, Core i7 7500U,0,1024,0,8,windows,16.0574502721839
Lenovo,Notebook,14.0,1.42,1366x768,HD,1.6,Intel, Celeron Dual Core N3060,0,0,32,2,windows,13.695524109364618
Lenovo,Gaming,15.6,2.5,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,128,1024,0,8,windows,15.768945178833988
Asus,Ultrabook,13.3,1.45,1920x1080,Full HD,2.3,Intel, Core i5 6200U,512,0,0,8,windows,15.738337192903591
Apple,Ultrabook,11.6,1.08,1366x768,HD,1.6,Intel, Core i5,0,0,256,4,mac,15.640909182314669
Lenovo,Notebook,15.6,2.2,1920x1080,Full HD,2.3,Intel, Core i5 6200U,0,500,0,4,windows,14.798917258585046
Lenovo,Notebook,15.6,2.1,1366x768,HD,2.3,Intel, Core i5 6200U,0,500,0,4,no,14.372146797840186
Lenovo,Notebook,15.6,2.1,1366x768,HD,2.0,Intel, Core i3 6006U,128,0,0,4,windows,14.480356014796083
MSI,Gaming,17.3,2.7,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,128,1024,0,8,windows,16.273487944907814
Dell,Gaming,15.6,2.62,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,0,1024,0,8,windows,15.837497848245768
Dell,Gaming,17.3,4.42,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,16,windows,17.133731438763387
Asus,Notebook,14.0,1.65,1366x768,HD,1.5,AMD, E-Series E2-6110,0,0,32,2,windows,13.372146797840186
Dell,Notebook,15.6,2.06,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,512,0,0,16,windows,16.626546367446036
Asus,2 in 1 Convertible,12.5,1.2,1920x1080,Full HD,0.9,Intel, Core M M3-6Y30,0,0,64,4,chrome,15.121384577937999
Lenovo,2 in 1 Convertible,10.1,0.69,1920x1200,Full HD,1.44,Intel, Atom x5-Z8550,0,0,64,4,windows,14.639404023032718
Asus,Notebook,15.6,2.45,1366x768,HD,2.3,Intel, Core i5 6300HQ,0,1024,0,4,no,14.912941715285774
Acer,Notebook,15.6,2.4,1366x768,HD,2.5,Intel, Core i5 7200U,0,500,0,4,windows,14.862226650139728
Asus,2 in 1 Convertible,15.6,2.3,3840x2160,4K,2.7,Intel, Core i7 7500U,512,2048,0,16,windows,16.54850164854802
Acer,Notebook,15.6,2.4,1366x768,HD,2.2,AMD, A8-Series 7410,0,1024,0,8,windows,14.546093812037684
HP,Notebook,15.6,2.04,1366x768,HD,1.6,Intel, Pentium Quad Core N3710,0,2048,0,8,windows,14.339148522282729
Dell,2 in 1 Convertible,13.3,1.22,3200x1800,Quad HD,1.3,Intel, Core i7 7Y75,512,0,0,16,windows,16.626546367446036
Acer,Notebook,15.6,2.2,1366x768,HD,2.0,Intel, Core i3 6006U,0,500,0,4,windows,14.608966289811914
HP,Notebook,15.6,1.86,1366x768,HD,2.5,AMD, A6-Series 9220,256,0,0,4,windows,14.262999183356934
Lenovo,Ultrabook,14.0,1.13,2560x1440,Quad HD,2.7,Intel, Core i7 7500U,0,0,0,16,windows,17.093623884737386
HP,Notebook,14.0,1.44,1366x768,HD,1.6,Intel, Celeron Dual Core N3060,32,0,0,4,windows,13.574725965393482
HP,2 in 1 Convertible,13.3,1.58,1366x768,HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,15.44391636505321
Dell,Notebook,15.6,2.24,1920x1080,Full HD,2.5,Intel, Core i5 7200U,0,1024,0,8,windows,14.877629234599087
Toshiba,Notebook,15.6,2.0,1366x768,HD,2.5,Intel, Core i5 7200U,128,0,0,8,windows,15.366699233000515
Lenovo,Notebook,17.3,2.6,1600x900,HD,2.2,AMD, A8-Series 7410,128,0,0,4,windows,14.669212832248771
Dell,Notebook,15.6,2.2,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,2048,0,16,windows,15.883998759474816
Lenovo,Ultrabook,14.0,1.32,1920x1080,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,16.285306845244396
HP,Notebook,14.0,1.64,1366x768,HD,2.5,Intel, Core i5 7200U,0,500,0,4,windows,15.341001695358207
HP,Notebook,14.0,1.54,1920x1080,Full HD,2.3,Intel, Core i5 6200U,0,500,0,4,windows,15.701306461958625
HP,Notebook,15.6,1.91,1920x1080,Full HD,2.7,Intel, Core i7 7500U,0,1024,0,8,windows,15.670687226900233
MSI,Gaming,17.3,2.8,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,16,windows,16.61969269640497
Lenovo,2 in 1 Convertible,14.0,1.42,2560x1440,Quad HD,2.7,Intel, Core i7 7500U,256,0,0,8,windows,17.074258559870454
Microsoft,Ultrabook,13.5,1.252,2256x1504,Full HD,2.5,Intel, Core i5 7200U,256,0,0,8,windows,16.123539462641673
Dell,Notebook,15.6,2.3,1366x768,HD,2.7,Intel, Core i7 7500U,0,1024,0,12,windows,15.213422075852375
HP,Notebook,15.6,1.91,1366x768,HD,2.5,AMD, A6-Series A6-9220,128,0,0,8,windows,14.53609856672308
Lenovo,Gaming,17.3,4.6,1920x1080,Full HD,2.7,Intel, Core i7 6820HK,256,0,0,16,windows,17.1607328344226
HP,Notebook,15.6,1.95,1920x1080,Full HD,3.0,AMD, A9-Series A9-9420,256,0,0,6,windows,15.077596845295677
Dell,Gaming,15.6,4.42,3840x2160,4K,2.8,Intel, Core i7 7700HQ,256,1024,0,16,windows,17.221849401492335
Lenovo,2 in 1 Convertible,14.0,1.38,1920x1080,Full HD,2.7,Intel, Core i7 7500U,512,0,0,16,windows,16.50783675121819
Lenovo,Notebook,15.6,1.99,1920x1080,Full HD,2.7,Intel, Core i7 7500U,512,0,0,8,windows,16.49124433093882
HP,Notebook,13.3,1.49,1920x1080,Full HD,1.6,Intel, Core i5 8250U,0,500,0,4,windows,15.134265869234731
Dell,Gaming,17.3,4.36,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,128,1024,0,16,windows,17.02612858385641
Dell,Notebook,15.6,2.02,1920x1080,Full HD,1.8,Intel, Core i7 8550U,256,2048,0,16,linux,15.770321139873806
Asus,Gaming,15.6,2.5,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,128,1024,0,8,windows,16.04044384687821
Acer,2 in 1 Convertible,14.0,1.2,1920x1080,Full HD,1.3,Intel, Core i7 7Y75,256,0,0,8,windows,15.901685259942651
Dell,Ultrabook,14.0,1.6,1920x1080,Full HD,1.6,Intel, Core i5 8250U,256,0,0,8,windows,15.901685259942651
Asus,Notebook,14.0,1.65,1366x768,HD,1.5,AMD, E-Series 6110,64,0,0,4,windows,13.854411353581582
Dell,Ultrabook,13.3,1.2,3200x1800,Quad HD,1.8,Intel, Core i7 8550U,256,0,0,8,windows,16.18570242446129
Dell,2 in 1 Convertible,13.3,1.62,1920x1080,Full HD,1.8,Intel, Core i7 8550U,0,1024,0,8,windows,15.44804917773636
Dell,Gaming,17.3,4.42,1920x1080,Full HD,2.8,Intel, Core i7 7700HQ,256,1024,0,32,windows,17.356200219431948
Acer,Notebook,15.6,2.1,1366x768,HD,1.1,Intel, Celeron Dual Core N3350,0,1024,0,4,windows,14.178465673145265
HP,Notebook,15.6,2.31,1920x1080,Full HD,2.9,Intel, Core i7 7820HQ,256,0,0,8,windows,16.2142917967723
